Gedenkstein Talstraße;http://lh4.ggpht.com/SEvlZ-wm0ULU8vPeBOCG7q7VORpD-lAIVeJxVztndp6zZV4O-2FbwfWQxZDQQL4BzzFgI2ZJEy0NE8-D-M0;bb207b89079046248422038ac3686ddc.16;47.988918;7.852383
colored house;http://lh3.googleusercontent.com/fwAvIa8qHls6UmfM7Whe0c09gvdhn0b2QlmPSXTYIMK1qcCoN2qXgh-Lub7rm15n7cLvAj_NBmZzaHvjsM0;cd8916f160df48209f0bc3b4a11245fa.16;47.986235;7.846447
Stolpersteine Jakob und Jette Model;http://lh3.googleusercontent.com/QUWtEacmGWFYiDXkvCRw_FH9az3P1TpWGZNaT11X6qKPVClGyPpGzgC_2mbltrTZkr9eZaNiBaWnmCG_KNE;bccd4f3c2c5349958310035f7f4d98fc.16;47.986066;7.845432
Icecream Mariotti;http://lh4.ggpht.com/k-u-0SvaGNEzEkoIdF9r4Xj0kfO3X_ru7cgL0-zlLmGzGuZ1EeD7bDeHkE19xwlQr7ro1ISjPFX36I23iEkn;5557dcb14fb842eb98fa4ecaee2e1d9c.16;47.989252;7.843076
Brunnen an der Mattenstraße;http://lh4.ggpht.com/Dx4-PdSXQsegsfy0PLMF3KRqDpgCRBfimqa_pLb7xrOk4QLL-KM8hdqZ_-ZZr5JoUAfa0VRgKKDy_dYaCjTR;3b855db49a194bb4bef7da5297d3217c.16;47.989568;7.842896
Stolpersteine Meta Ellenbogen und Klara-Maier Blum;http://lh3.googleusercontent.com/4J8D_FfegRYAdmAcCJnisEPZlkbyM5OcYPGLcNrUQ08gPa_ew97M2pVRTHFaP8IryR1kugzgY0S3KO60s9yle1vf4yM;77e01e8931144149bbc6bebc8354dfdd.16;47.987525;7.849732
Cow Statue;http://lh5.ggpht.com/B_jQcKZK8snS_-sZiXVoPfBwUoxwlWw5Zw7AEa_jpkB81obQmoHKCFq5uE8a2R3VYPTJF1K4fr8yOAEP6urZUQKTMHByZhSaVqxHAEV4WoQoQcsd;7309fd3214634fc78cad72d133fc987d.11;47.985135;7.851844
Trinkwasser Brunnen;http://lh3.googleusercontent.com/wRLHqHpfh_MpRTBiwzcNDz0hmH3iUt9rADU_EfY2QTGB6V6Lo85mOGTmLsPgg0_fqzK_IO8ZACcdEGiEsts;c6e7ebb01fba4fcb89472a5ab400d594.16;47.987207;7.849729
Advent Kapelle;http://lh4.ggpht.com/A27UaEHDrRYRZjs00pQhWCaynhxy08ZzP1H1TJQgP9mdWtQYvBdW3KDXRc7DnIjW-uYiiEfaklqMctHEbDEq;988df5d8f28f4d43b00d3037a67446d1.16;47.985318;7.849626
Model und Danziger;http://lh3.googleusercontent.com/0iHVr4vGqSBIBSBsg1SLLUBc8gL_XiRDsX9psA0Qzv_jKYWr272235AUJhu1ZUvSPFOHV5MM4TtBGxFjHdQHVA;4b8b75e7fae84a7f8d73dc53a1e623e4.16;47.986639;7.851982
Kapelle der Uniklinik;http://lh6.ggpht.com/-cceP9kjXVDcVfkukPa09FVJYykPc9AYooObKzVvA4mSzQqU496dREKsw3VxuzCwubRR1v9liVVJ0zXbDRB2;2609efb747104718a8b040c0ee34e57f.16;48.006557;7.838137
Hans Adolf Krebs;http://lh3.googleusercontent.com/D0UVgRlefzBr7-hfRBgrWPaNNBns_qrn3DSDIm31K9fh1opeC6kRCN6IujN_aZH6HtU0Jlq1lOzv1z7Uyy4;dadd53c0804a43a08e1db165d3805df6.16;48.006409;7.833936
Das Auge;http://lh4.ggpht.com/PM65DAPkLMMsNsMLtiv0l2-OhjN-f5wX5gTt4_qry-uuaTULs4iPuBzEWucguo50A4Su_pTuMPzHXpEuzxMu;65411c166dd34ba8a4835b931fd275b8.16;48.006996;7.835686
Gelbes Segel;http://lh3.googleusercontent.com/Zvy7__l9wVkVuN_D-GzsGrcXHWZLrmrXCOW6hRViDWM_oTtG-X5XKRAoUtAYwRKj9azJUr0KJJWjde8LgHgc;b4013bb8d16445e79457b0eb69464a93.16;48.005711;7.834986
Riesen Rettungsring;http://lh6.ggpht.com/Fat09A_676RY_x989b_2q44pjDWW-fORq-3IcJQcfBu0fBCejnn6mhNRB3_9Y74utKohxnwWws3hYX-mYDWL;14cdc26487244112be8fc644a61898df.16;48.007403;7.838655
Eisschale;http://lh4.ggpht.com/GDKj2Hih8TZ888tCoh3rdMHthe3GeJl6adlA4-7rZzAg6f0kAc4JuIG_pngMAwwYIt9x5yQAxjekCGmInPqnsQGM2MMyDvnxiCAKabR4T1TgZa8;692b09759d1c42f0adb81d13d7e4cabc.11;48.005678;7.835928
Helga Salvesen Memorial Stone;http://lh3.googleusercontent.com/aDPjN-9m3mTt-j6pRtu5M9ZoyLTmQ6nt7pdtpX35HhNYJn1hm3rmdtVi4OMCeOYW8VAie0LKZrCzVGJri3i7;b8dacf2567e84eb09a199c0296b86c14.16;48.006215;7.836373
Sternenkugel;http://lh3.ggpht.com/_MIiU8FcvyCSpctOMb2JpmKNCikG1eAKD2y502KU3K8bWNoumJrP3T6qxa24WMpw2rANrwIZBsNePDQy7gItmmV42sll5xa3BhNAvIcHxwT0Y5Y;bf7641cb32b549708d5614fdc5303b3f.11;48.005587;7.835541
Infotafel Güterbahnradweg;http://lh3.googleusercontent.com/dcjjD4VDM-0hkOXc2zFFjCC5TDkGCYJO1LmMM6S6utKSKVEe5VuPRD3BqlwsnKKq-4yRoJIJJt10R-3QjCY_Mw;56c35d96e40a480aa240df4b144c8b4f.16;48.005753;7.832326
Spirale;http://lh6.ggpht.com/staahE2FNjuZAP3VhtrVQdYvAPu4vGru9J1JoZCvh2CmVDUGWofLQInEKXrny69Ui1c-tZR9KKK56f2hrxo;61875edca3e2424fa317f3c281926b79.16;48.005528;7.840571
Stein mit chinesischen Schriftzeichen ;http://lh3.googleusercontent.com/tgMSEy__I_rd9qUKyUL9FcCduVgulsadDFF1ms37CDIUYb8iOIykMhgis82vplnny-woLjdi_Ame-82Q_Rw2;f8a741033d0a499dab3950f3e0410df8.16;48.007003;7.837591
Hermann O. Nuss und Maria A. Nuss Stiftung;http://lh3.googleusercontent.com/Z-b6K4xbwetAO9dz1D1P8upobUGFm59ezcQRcojBA37kNgLNe2rXLhyjhLk8TcqetApeMp31ityjOecDEGHi;7fc32d7baab449c482e5bbb04115a394.16;48.005466;7.838718
Kugel Am Klinik Casino;http://lh3.googleusercontent.com/JLQJrjENGQDIuCdTGdEZTId2iTHhDAP42SkZiqDq2Qxn2DUPiRRuR1Z9Ap5Xo5e4ecQqi4Darq4yDk2rURk;ded3effe09084b9c98c4ccea04a31284.16;48.006799;7.834282
Wurm Park;http://lh4.ggpht.com/gy8rAvPijfTvq80lYr6ezC37YIuC7hU5brtCEZ6hWpa8mFmGVTAUffkgBRObuhqo_ItWiZXA13eJ1waXq_2ESw;9d481a814f8f45d0b8782a39d33cd1a5.16;48.006683;7.837325
Springbrunnen mit Reiher;http://lh6.ggpht.com/3vadHDQpRUzhwQVB6DBWDftoIZ8uPqjQs3897RVZVjib9fbAxOiiWv3VxydUK6BKbDKMzErgclm0LCFdv-veiA;9011a179535d4b8db10a25c849d380ed.16;48.005877;7.838562
St. Josef;http://lh6.ggpht.com/Yk2DeibQoZC9Uw6eErKeim59g3y5r-u2Z8MXAAbtsmyFYkCWpEj4nUgGH-cVniJAxbcsU6sGPFOmz9qGDVoo;50ae63f4c7444ff999951f7696c7ae8c.16;48.005729;7.833247
Auferstehung ;http://lh5.ggpht.com/ZYPNJkw0CGmDtMO-egg_sTFhu_EB839FYnc9R3bF65vpRTJ_DnM77mmICyF01vAZedhFVHB3YlOwwo3jKPI6jw;677365abab3042be967e7487d910baa4.16;48.007674;7.840706
Kinderstatuen;http://lh5.ggpht.com/VZDpgBT6BBNJOf6IW6MtjagKkLAwq3fllq3elPvH8oJ9QbZvphZ7mV-12nwvuHTFjqAdLqDhTHVQhbG-RTw;3a6ad5b9141c4764a370a7016fcc8ce3.16;48.006058;7.840085
Small Red Tower;http://lh5.ggpht.com/6T1u_6Ei-Ikc5PSc_yByphmX098bYCzka2dD7Mm5JTM3-xgBZZpsJ4Bi7AaTeP6yPijeuBX9mgIS0gkwBlUW;d4f072af47df4ed1a4426061caa188c7.16;48.005594;7.840222
Mosaik;http://lh6.ggpht.com/vPNq4Xbo23MyM_SYQ7fh_KkpeutswtB4vQEjK-aALseb2DzVrzWDBPs-6I4K-S2gWi1-4lK6bacw3631LwM;30961519a56f42959bef52b27693a82b.16;48.007161;7.835691
Kirchenglocken von 1921;http://lh3.ggpht.com/KpnqPxxyECObslS5iLni5-SxJMPneP6uN9-_Hm-xBua5xArB-oYApce7llCSWbaOR7d2_LN07o5dK2qrQvWuUw;e7ebb49f27a34f3695aac64d44c19f92.16;48.00594;7.833276
Pyramide Uniklinikum;http://lh4.ggpht.com/kc_iVHfujk9STa67PC49_6-OijyjL4KByhO4HnCjMTSH0Vjzq2zAfWLbq6fWZQ_eXw3f4zU3FIoy11FcdfGum2OV6QWuisfx9taNUKUdtzcV5UQc5w;128ecb8a80da4946aaf14ca4890e1fb5.11;48.006848;7.837195
Insektenhaus UKF;http://lh3.googleusercontent.com/d1YSwFeOfHlOqYZC9N4Wke62ACGrCiO8fBUdlEVxTQEqt-kDQMpAUr4TM3jCKLgmipm3YDu52hWV69vM3swt;1cc5608ee552443e875aff0bec98a6e0.16;48.006491;7.836392
Vogelbad Uniklinik;http://lh4.ggpht.com/F_QbUrTEI1kYllF1sPCtS3YExxAxgBqxxycLzqJ-q7lodLv2DrGIOdWeLlvqjKf1gruKpX1Ft3rvwOEno0lb;544c515f11d340bcba5e0ef4492d764b.16;48.00529;7.839876
Uni Klinik Rad;http://lh3.ggpht.com/jzWBKh2FEFNkdGoUVZKhiepprr0tu6T-F8nP1XyP4krexnIDdLhQ4f5a0KGZ2b_tjZYWXtj5JwXETiLgjx4mkWQW0EtFdPkiHvcVcNGghbl1zcY;6ab338f29227496a96f4ead03f59a85d.11;48.005355;7.835477
Springbrunnen;http://lh6.ggpht.com/OxtrEfLW_5HOyOD3eCBCE3oqj1k3-pHG7dc7OJs_2wug5LCFii3VrqMr8unpoUM8qG0yjwCzkco24k6uc4tk;fb1f03fd8438417a85b30f09603c8057.16;48.007504;7.830964
Mosaik 2;http://lh3.googleusercontent.com/LbeXfgJ1UuXpFaPyDpIGOLLe319jsl23wOYmD_Xf57NN8RYcovh604Nl5ss92O4yacag5nguw67JM-RMcvZi;741d50d6f6784d4789b13e8a9df084ef.16;48.007014;7.834779
Evangelische Kirche Der Uniklinik Freiburg;http://lh3.ggpht.com/KUJs0Y7ggjFnEk1z3UfMS-4k32zns2cHmHqWuwGm8ih1SeUKBZwVoDfr-HfDitL8F8FsBTehI1aeWniURew;06347e66f0d94cea84d3044c0f01a665.16;48.007296;7.839031
Kinderbrunnen;http://lh3.ggpht.com/44SfL-VgdU7FnIZlgiS52wg6etfllbSZJQauA5Uk--dPPtLTh1_YNmTxoj6-KbJPIWXRRmm4bQch1KPoNOiq;703c4936dbd34dd798962811b0194deb.16;48.006173;7.840357
Torbogen;http://lh4.ggpht.com/sn56xUmv7jh140sAjdK_GUciViP538ZhxjaVpOcVKNiyi79WuNCX-oSRbAXhFTb8SRLlOPl1oGnFd4t51uqc;3048902038544b439183bcbcd0e3e0ca.16;48.005543;7.839369
Klettergerüst Oktagon;http://lh3.ggpht.com/xY1IGPm-i7S92Yonv36qErS3094mDbyg71cnsLh4SJaJidV22g36skvSvCRezMFJHozPuW0msN1IhVAEJA;b30df1f00a7e40928b0c7f5e5ee5901f.16;48.007113;7.812409
4 Headed Fountain;http://lh3.ggpht.com/Tnl7zP9LCnhO5XaFmQx3iyN91mPlUb2M8koW4vmQT9OuvUS6llODc7WFEfSD4gVK3yP8EQ8Mqzx_Jf-bG-_D;758a6abe64224f1d960bac1372e6ec85.16;48.006317;7.818108
Spielplatz Kußmaulstraße;http://lh3.googleusercontent.com/Xf0MiVks3AFLoM7ACP2GYXuojyIBa_st8ZtywHX9ffuSxvft2U7qgPx0NTH52kudIwRWmXcmKuC2V_Fzd1Y;871f6228e3d044b2877e4f60ec681a12.16;48.005269;7.814522
Kleine Buckelrutsche;http://lh3.googleusercontent.com/IheAxzuZ7bQ1RvL8Ma6vD3XilnbyxLeW86FLEKFeP826UYSw0RoUQSnju6iPs6JhPct_LurGgJr7Gf0x4DhI;a464985bb7d74c4099f344e67085af6e.16;48.004982;7.815026
Kreuz Dietenbachsee;http://lh4.ggpht.com/LJULvWH3m5n2gsd0FmUmcL8pfT_ILQM1pJ6KrEA_OFJVJq7TMpOHTfyS_lk9f0WsnqWQfZQL-hxXjTbGta-jtbO_UE2gl_G6IsQDqVR6ATw1KydUTw;3280d721ac1e42669872124c4565f622.16;48.000243;7.801922
The Pipe;http://lh3.googleusercontent.com/0kyhuQe_5QfBCs7jyIoPvIvmzwLxnmOw9gmp6G8-B49_UWcsB8XBa4XAaaFW9ZIG6zg9C0jPAbSHi0hRbj8;2cf0e9b221504e749259dae8bb08157d.16;48.001751;7.80616
Dietrich-Bonhoeffer Geneindezentrum;http://lh3.googleusercontent.com/M10YJwZwH0-9Aw2K9ed2QEbAn1GUe_gbNHbVy0ap4TVwzfP-Lr_zeFGZWn10xNUrIVr_ZGGCFnG2d3sru45O;e38e2cbe66db4720b3a74a2fcf618233.16;47.998132;7.804647
Neunaugenbach;http://lh3.googleusercontent.com/NcNZnQjXd-pkwsePHGZ38-LM33GiNFM8VQfZuNcxqcgFpf2TZOsL8DvhBwiExczsdHPCLB5QDxsSRCBjaV-z;21ab408709a74e64beb693c3de381ebc.16;47.998855;7.796726
