Forellenbrunnen Merzhausen,47.966434,7.824552,Pokestop
Kein Trinkwasser,48.096825,7.969706,Pokestop
Lurchi-Brunnen,47.975381,7.823571,Pokestop
Der Hahn,47.97423,7.82538,Pokestop
Heiligtum Der Berufung,47.966335,7.819657,Arena
Old Timer,48.011903,7.824464,Pokestop
300,48.01049,7.816338,Pokestop
Nashorn,47.974256,7.818121,Pokestop
Abenteuer Spielplatz,47.990445,7.87405,Pokestop
Katholische Kirche,48.015766,7.815094,Pokestop
Cross at a Crossing,47.966055,7.828599,Pokestop
Cross of Kappel,47.964854,7.908129,Pokestop
NOLL TURM,48.031673,7.842588,Pokestop
St. Pankratius Kirche,48.081322,7.917595,Pokestop
Go-West-Ranch,48.052717,7.856603,Pokestop
Bleistift - Giant Colored Penc,48.013307,7.814244,Pokestop
Schiffsbrücke,48.07241,7.907707,Pokestop
Maria Mit Kind 1981,48.096396,7.96878,Pokestop
Brunnen Im Jesuiten,47.966258,7.817442,Pokestop
Mühlenrad,48.080735,7.919023,Pokestop
DFG Pavilion,47.989989,7.873879,Pokestop
Waldmenschenreich,47.969775,7.845655,Pokestop
Andachtskapelle St. Barbara,47.992077,7.884745,Pokestop
New Omega,47.973454,7.818556,Pokestop
Hasemannstrasse,47.986463,7.884077,Pokestop
Waldmensch Schneewittchen,47.970887,7.843907,Pokestop
Stone Tower,48.009258,7.847196,Pokestop
Wendelturm im Seepark,48.01154,7.814762,Pokestop
Weingott,48.011053,7.819498,Pokestop
Baral Frau,48.074284,7.877844,Pokestop
Rusty Venus,48.010229,7.857315,Pokestop
Schneckenturm,48.010294,7.82122,Pokestop
Stammbaum Der Blütenpflanzen,48.009307,7.856898,Pokestop
Pokalsäule,48.00946,7.844928,Pokestop
Pontonbrücke,48.00966,7.819694,Pokestop
Spanischer Kultur und Sportverein e. V,48.011803,7.852089,Pokestop
Eisbär,48.012244,7.851789,Pokestop
Ki Ta Biolono,48.009926,7.856977,Pokestop
Living Tree Murale,48.017438,7.857108,Pokestop
Schwarz - Weiß,48.010456,7.856214,Pokestop
Friedhof Brunnen Nord,48.010574,7.842539,Pokestop
Personen-Sonnenuhr,48.012344,7.813319,Pokestop
Krematorium Freiburg,48.009922,7.844799,Pokestop
Destroyed Olympia,47.995951,7.845727,Pokestop
Bodenkompass,48.009392,7.821655,Pokestop
Katholische Pfarrkirche St. Josef,48.102893,7.97145,Pokestop
Stolpersteine J. Und L. Reichmann,47.987655,7.853394,Pokestop
Brunnen im Ortskern,48.105086,7.972598,Pokestop
Zwillings Löwen vor dem Gasthaus zum Kreuz,48.096197,7.963665,Pokestop
Albert-Schweitzer-Schulzentrum,48.041104,7.870891,Pokestop
Wiatrak,48.010781,7.827807,Pokestop
VII. Jesus fällt das zweite Mal,47.981732,7.837622,Pokestop
Solarturm im Seepark,48.008758,7.82192,Pokestop
Kirche Jesu Christi Der Heiligen Der Letzten Tage,47.994929,7.824242,Pokestop
Bischofskreuz,48.005731,7.819824,Pokestop
Hexenhaus mit Hundehütte,48.024739,7.848155,Pokestop
Gedenk-Brunnen,48.009015,7.845191,Pokestop
Lochstein,48.010977,7.820843,Pokestop
Freiburg: Woman with Children,48.013726,7.85668,Pokestop
Besançon Landesgartenschau 1986,48.009897,7.821903,Pokestop
Zebra Art,47.996621,7.79425,Pokestop
1898,47.993561,7.851226,Pokestop
Fort Knox,47.992006,7.856715,Pokestop
Obere-Linde Memorial,47.993689,7.854581,Pokestop
Alban Cat,47.993989,7.854612,Pokestop
Hokus Pokus Beat,47.991594,7.827222,Pokestop
Klettergerüst Haslach,47.992243,7.827695,Pokestop
Kieser Training,47.994125,7.850302,Pokestop
Skulptur Am Landgericht,47.994694,7.851815,Pokestop
Metal Cloud,47.992138,7.824948,Pokestop
Tiny Brick House on Top of a House,47.995402,7.851152,Pokestop
Muschel,47.992749,7.791603,Pokestop
Historisches Gebäude Münsterbauverein,47.995502,7.854144,Pokestop
Jugendarbeit Weingarten,47.994096,7.815105,Pokestop
Krozinger Straße 80,47.993661,7.814585,Pokestop
Tulpen,47.995439,7.850358,Pokestop
Gold and green,47.993651,7.853841,Pokestop
The Lighter,47.986295,7.815996,Pokestop
Brunnen Kartäuserstrasse,47.991727,7.859707,Pokestop
Spieloffensive,47.993362,7.814435,Pokestop
Kreuz St. Michael,47.990335,7.820992,Pokestop
Town Archive,47.994398,7.850862,Pokestop
Silbergruben - Kiesgrubenweg,47.991507,7.782959,Pokestop
Wooden Tower,48.010331,7.850572,Pokestop
Schmetterling,48.012156,7.821916,Pokestop
Bender Head at Westbad,48.011354,7.82278,Pokestop
Freiburg: Schlossberg cross,47.994258,7.857976,Pokestop
Biergarten,47.992984,7.788482,Pokestop
Kreuz vor der Baptisten-Gemeinde,48.006287,7.850248,Pokestop
Pencil Case,47.986247,7.816812,Pokestop
Monolith,47.989142,7.7943,Pokestop
Badenova Häuschen,47.993731,7.821809,Pokestop
Tree Cut,48.008638,7.85857,Pokestop
Ludwigs-Hoehe,47.993678,7.858235,Pokestop
Staudinger Säule Nord,47.992561,7.825431,Pokestop
Kopfloser Nick,47.987131,7.847922,Pokestop
Mein Baby,47.992475,7.854519,Pokestop
Alte Universität,47.995254,7.847691,Pokestop
Freiburg nach dem Schneefall ¦,47.99248,7.853723,Pokestop
Freiburg: Golden Bear,47.99334,7.853992,Pokestop
Stolperstein Dr Hans Pollock,47.986658,7.847167,Pokestop
Brunnen Schwabentorring,47.991241,7.85435,Pokestop
Calvary Chapel,47.994082,7.847908,Pokestop
Schneckenbrunnen Spemannplatz,47.971591,7.837683,Pokestop
Mach Blau,48.074239,7.900382,Pokestop
Balanceakt,47.991124,7.878989,Pokestop
Engels Wappen,47.984548,7.837729,Pokestop
Place De La Petanque,48.07328,7.903657,Pokestop
Blume,47.995072,7.848977,Pokestop
Kreuz auf der Haid,47.988986,7.785175,Pokestop
Bärchen23,47.995823,7.835137,Pokestop
Großes Rad,47.991711,7.793943,Pokestop
Donald Duck Graffiti,48.09692,7.965187,Pokestop
Steini Schlumpf,47.99465,7.859618,Pokestop
Majim Steg,47.987469,7.903327,Pokestop
Arachnides Kinderfang Netz,47.990967,7.879178,Pokestop
Crazy Wall,47.992609,7.83305,Pokestop
Totes Gleis,47.976384,7.817444,Pokestop
Weingarten Wappen,47.99434,7.810533,Pokestop
Broken Concrete Sculpture,48.033745,7.851061,Pokestop
Frau Mit Kind,48.009288,7.840731,Pokestop
Aussichtspunkt,48.010411,7.869904,Pokestop
Auferstehungs-Gemeinde,47.983515,7.897535,Pokestop
Nadelwald Tattoo,47.988718,7.867096,Pokestop
Kinder Skulptur Am Stadtrainsee,48.0892,7.957628,Pokestop
Pferd,47.994431,7.853708,Pokestop
Karma Buddha,47.996318,7.844359,Pokestop
Zu unser Frauen Berg,47.996105,7.84817,Pokestop
Dionysos,47.98835,7.846017,Pokestop
Erzbischofskirche,47.994932,7.853788,Pokestop
Spielplatz,48.02406,7.861133,Pokestop
Brunnen In Der Passage,47.995467,7.849663,Pokestop
Kaiser Joseph Str. Brunnen,47.991178,7.848283,Pokestop
Regenbogen Stift,48.03914,7.811846,Pokestop
Katze,47.991231,7.846571,Pokestop
Schattenstein,48.003313,7.817049,Pokestop
Trojanisches Pferd,48.011766,7.782297,Pokestop
Kaffee Time Out,47.988811,7.849838,Pokestop
Kunstruine,47.992217,7.849777,Pokestop
Stätische Kinderschule,48.092712,7.96129,Pokestop
Kornkreis,47.989937,7.847972,Pokestop
Gottesackerkapelle,48.02195,7.861134,Pokestop
Halfpipe Dietenbachpark,48.002522,7.804419,Pokestop
Steinskulptur,47.99367,7.846899,Pokestop
Graffiti Dreisam-Unterführung,47.990829,7.84399,Pokestop
Lebens Portal,47.990328,7.857221,Pokestop
Mundenhof Spieldrache,48.013358,7.782267,Pokestop
Jesuskreuz,48.020328,7.862371,Pokestop
Alien Flat,48.029677,7.809013,Pokestop
,47.990043,7.851866,Pokestop
Altstadtbrunnen,47.995875,7.847885,Pokestop
Aristoteles,47.993675,7.846064,Pokestop
Gertrud Luckner Stolperstein,47.988965,7.846101,Pokestop
Bildstock St. Margarethe,48.091669,7.962503,Pokestop
Graffiti Unterführung,47.989315,7.858823,Pokestop
The Pipe,48.001751,7.80616,Pokestop
Anker,47.992421,7.851521,Pokestop
Drunk Monk Street Art,47.993371,7.850858,Pokestop
Rathaus Waldkirch,48.091708,7.961742,Pokestop
LKW Mann,48.039507,7.808133,Pokestop
Bloody Mary,47.993348,7.848933,Pokestop
Sleeping  Man,47.989107,7.850637,Pokestop
Arche Noah,48.012842,7.782718,Pokestop
Zaehringen Tower Murale,48.022922,7.861664,Pokestop
Tischtennis mit Graffiti,48.02078,7.860443,Pokestop
Kronenpokal,47.989293,7.843808,Pokestop
25 Jahre Landwasser,48.028679,7.805132,Pokestop
Paulussaal Freiburg,47.991079,7.849307,Pokestop
Steinmann Gundelfingen,48.040243,7.865339,Pokestop
Grüne Pumpe,48.000513,7.852121,Pokestop
Freiburg Synagoge,47.996354,7.853567,Pokestop
Bürgerhaus,48.019354,7.858367,Pokestop
Badisches Mosaik,47.985363,7.828434,Pokestop
Rottecksruhe,48.000227,7.856665,Pokestop
Hebsackwiesen,48.009221,7.86663,Pokestop
Mosaik,47.996705,7.847366,Pokestop
Freiburg: Wave Portal,47.996606,7.850774,Pokestop
